hospital_pk,collection_week,state,ccn,hospital_name,address,city,zip,hospital_subtype,fips_code,is_metro_micro,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_avg,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum,total_patients_hospitalized_confirmed_influenza_7_day_sum,icu_patients_confirmed_influenza_7_day_sum,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_sum,total_beds_7_day_coverage,all_adult_hospital_beds_7_day_coverage,all_adult_hospital_inpatient_beds_7_day_coverage,inpatient_beds_used_7_day_coverage,all_adult_hospital_inpatient_bed_occupied_7_day_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_coverage,total_adult_patients_hospitalized_confirmed_covid_7_day_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_coverage,total_pediatric_patients_hospitalized_confirmed_covid_7_day_coverage,inpatient_beds_7_day_coverage,total_icu_beds_7_day_coverage,total_staffed_adult_icu_beds_7_day_coverage,icu_beds_used_7_day_coverage,staffed_adult_icu_bed_occupancy_7_day_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_coverage,staffed_icu_adult_patients_confirmed_covid_7_day_coverage,total_patients_hospitalized_confirmed_influenza_7_day_coverage,icu_patients_confirmed_influenza_7_day_coverage,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_coverage,previous_day_admission_adult_covid_confirmed_7_day_sum,previous_day_admission_adult_covid_confirmed_18-19_7_day_sum,previous_day_admission_adult_covid_confirmed_20-29_7_day_sum,previous_day_admission_adult_covid_confirmed_30-39_7_day_sum,previous_day_admission_adult_covid_confirmed_40-49_7_day_sum,previous_day_admission_adult_covid_confirmed_50-59_7_day_sum,previous_day_admission_adult_covid_confirmed_60-69_7_day_sum,previous_day_admission_adult_covid_confirmed_70-79_7_day_sum,previous_day_admission_adult_covid_confirmed_80+_7_day_sum,previous_day_admission_adult_covid_confirmed_unknown_7_day_sum,previous_day_admission_pediatric_covid_confirmed_7_day_sum,previous_day_covid_ED_visits_7_day_sum,previous_day_admission_adult_covid_suspected_7_day_sum,previous_day_admission_adult_covid_suspected_18-19_7_day_sum,previous_day_admission_adult_covid_suspected_20-29_7_day_sum,previous_day_admission_adult_covid_suspected_30-39_7_day_sum,previous_day_admission_adult_covid_suspected_40-49_7_day_sum,previous_day_admission_adult_covid_suspected_50-59_7_day_sum,previous_day_admission_adult_covid_suspected_60-69_7_day_sum,previous_day_admission_adult_covid_suspected_70-79_7_day_sum,previous_day_admission_adult_covid_suspected_80+_7_day_sum,previous_day_admission_adult_covid_suspected_unknown_7_day_sum,previous_day_admission_pediatric_covid_suspected_7_day_sum,previous_day_total_ED_visits_7_day_sum,previous_day_admission_influenza_confirmed_7_day_sum
210005,44218,MD,210005,FREDERICK HEALTH HOSPITAL,400 WEST SEVENTH ST,FREDERICK,21701,Short Term,24021,TRUE,338,249.7,220,237.6,190.7,57.4,57.4,0,0,299.3,15.6,15.6,15.6,15.6,5.3,5.3,0,0,0,2366,1748,1540,1663,1335,402,402,0,0,2095,109,109,109,109,37,37,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,59,0,-999999,5,8,11,8,17,9,0,0,176,0,0,0,0,0,0,0,0,0,0,0,824,0
210017,44218,MD,210017,GARRETT COUNTY MEMORIAL HOSPITAL,251 NORTH  FOURTH STREET,OAKLAND,21550,Short Term,24023,FALSE,36,36,36,21.3,21.3,4.6,4.6,0,0,36,4,4,-999999,-999999,-999999,-999999,0,0,0,252,252,252,149,149,32,32,0,0,252,28,28,16,16,7,7,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,0,0,0,0,0,-999999,4,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,193,0
210049,44218,MD,210049,UMD UPPER CHESAPEAKE MEDICAL CENTER,500 UPPER CHESAPEAKE DRIVE,BEL AIR,21014,Short Term,24025,TRUE,240.6,239.6,190.9,170.6,169.7,52.1,41.4,-999999,0,191.7,29.4,29.4,18.3,18.3,11.7,10,0,0,0,1684,1677,1336,1194,1188,365,290,4,0,1342,206,206,128,128,82,70,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,38,0,-999999,-999999,0,5,10,9,11,0,0,86,21,0,0,-999999,0,6,5,-999999,6,0,-999999,838,0
210006,44218,MD,210006,UNIVERSITY OF MD HARFORD MEMORIAL HOSPITAL,501 SOUTH  UNION AVENUE,HAVRE DE GRACE,21078,Short Term,24025,TRUE,98,98,67.6,61.7,61.7,18.1,13.1,-999999,0,67.6,5.6,5.6,4.6,4.6,-999999,-999999,0,0,0,686,686,473,432,432,127,92,-999999,0,473,39,39,32,32,9,4,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,14,0,0,0,-999999,-999999,5,4,-999999,0,0,36,11,0,0,-999999,-999999,-999999,-999999,-999999,-999999,0,0,354,0
210048,44218,MD,210048,HOWARD COUNTY GENERAL HOSPITAL,5755 CEDAR LANE,COLUMBIA,21044,Short Term,24027,TRUE,365,323,323,230.9,214.4,55.9,55.6,-999999,0,365,58,33,30.3,20.1,11.1,11,0,0,0,2555,2261,2261,1616,1501,391,389,-999999,0,2555,406,231,212,141,78,77,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,50,-999999,-999999,5,5,10,-999999,12,12,0,0,295,59,0,7,20,-999999,6,9,6,10,0,0,1012,0
210030,44218,MD,210030,UMD SHORE MEDICAL CTR AT CHESTERTOWN,100 BROWN STREET,CHESTERTOWN,21620,Short Term,24029,FALSE,32.7,32.7,10.6,9.4,9.4,-999999,-999999,0,0,10.7,-999999,-999999,-999999,-999999,-999999,-999999,0,0,0,229,229,74,66,66,21,16,0,0,75,9,9,6,6,5,5,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,-999999,0,0,0,0,-999999,-999999,-999999,0,0,0,164,0
210022,44218,MD,210022,SUBURBAN HOSPITAL,8600 OLD GEORGETOWN ROAD,BETHESDA,20814,Short Term,24031,TRUE,286.4,281.4,265.4,228.7,227.6,41.6,41.6,0,0,270.4,28.3,28.3,23.9,23.9,12.9,12.9,0,0,0,2005,1970,1858,1601,1593,291,291,0,0,1893,198,198,167,167,90,90,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,35,0,0,-999999,-999999,6,7,8,11,0,0,169,35,-999999,-999999,-999999,-999999,-999999,8,9,11,0,0,693,0
210004,44218,MD,210004,HOLY CROSS HOSPITAL,1500 FOREST GLEN ROAD,SILVER SPRING,20910,Short Term,24031,TRUE,452,402,378,352.1,309.7,75.6,72.6,0,0,428,120,70,100.1,57.6,33.4,33.3,-999999,-999999,0,3164,2814,2646,2465,2168,529,508,0,0,2996,840,490,701,403,234,233,-999999,-999999,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,53,0,-999999,5,11,9,12,6,8,0,0,143,-999999,0,0,0,0,0,-999999,0,0,0,0,1041,-999999
210018,44218,MD,210018,MEDSTAR MONTGOMERY MEDICAL CENTER,18101 PRINCE PHILIP DRIVE,OLNEY,20832,Short Term,24031,TRUE,207,185,131.4,118.3,114.7,43,32.9,0,0,136.3,11.1,11.1,9,9,8.4,8.4,0,0,0,1449,1295,920,828,803,301,230,0,0,954,78,78,63,63,59,59,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,30,0,-999999,-999999,-999999,-999999,5,9,7,0,0,223,79,-999999,4,5,7,11,12,16,23,0,-999999,454,0
210057,44218,MD,210057,ADVENTIST HEALTHCARE SHADY GROVE MEDICAL CENTER,9901 MEDICAL CENTER DRIVE,ROCKVILLE,20850,Short Term,24031,TRUE,546,546,431,354,353.3,64,45.1,0,0,431,36,36,22,22,11.3,11,0,0,0,3822,3822,3017,2478,2473,448,316,0,0,3017,252,252,154,154,79,77,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,27,0,0,-999999,-999999,-999999,5,4,14,0,0,459,127,0,12,14,11,14,26,19,31,0,-999999,1131,0
210065,44218,MD,210065,HOLY CROSS GERMANTOWN HOSPITAL,19801 OBSERVATION DRIVE,GERMANTOWN,20876,Short Term,24031,TRUE,110,102,91,74.4,73.6,24.6,23.6,0,0,99,23,15,11.6,10.7,5.1,5,0,0,0,770,714,637,521,515,172,165,0,0,693,161,105,81,75,36,35,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,32,0,0,0,4,9,5,6,8,0,0,55,0,0,0,0,0,0,0,0,0,0,0,442,0
210062,44218,MD,210062,MEDSTAR SOUTHERN MARYLAND HOSPITAL CENTER,7503 SURRATTS ROAD,CLINTON,20735,Short Term,24033,TRUE,304,296,190.9,175.7,166.9,59.3,41.3,0,0,204.1,24.9,24.9,22.6,22.6,14.6,11.6,0,0,0,2128,2072,1336,1230,1168,415,289,0,0,1429,174,174,158,158,102,81,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,54,0,-999999,4,7,12,13,8,9,0,0,450,126,-999999,-999999,8,13,32,25,24,20,0,0,824,0
210016,44218,MD,210016,ADVENTIST HEALTHCARE WHITE OAK MEDICAL CENTER,11890 HEALING WAY,SILVER SPRING,20904,Short Term,24033,TRUE,371.6,371.6,325.6,259.4,259.4,124.7,103.3,0,0,325.6,42.9,42.9,28.1,28.1,15,11.9,0,0,0,2601,2601,2279,1816,1816,873,723,0,0,2279,300,300,197,197,105,83,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,33,0,-999999,-999999,-999999,5,8,5,9,0,-999999,274,114,0,11,15,7,17,14,21,29,0,-999999,569,0
210051,44218,MD,210051,DOCTORS'  COMMUNITY HOSPITAL,8118 GOOD LUCK ROAD,LANHAM,20706,Short Term,24033,TRUE,291,291,291,189.9,189.9,44.1,42.4,0,0,291,39,39,24,24,6.7,6.7,0,0,0,2037,2037,2037,1329,1329,309,297,0,0,2037,273,273,168,168,47,47,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,42,0,-999999,4,4,11,11,7,4,0,0,164,165,-999999,9,28,8,34,39,29,17,0,0,840,0
210060,44218,MD,210060,ADVENTIST HEALTHCARE FORT WASHINGTON MEDICAL CTR,11711 LIVINGSTON ROAD,FORT WASHINGTON,20744,Short Term,24033,TRUE,66,66,49,31.1,31.1,15.7,14,0,0,49,16,16,7.6,7.6,7.3,6.4,0,0,0,462,462,343,218,218,110,98,0,0,343,112,112,53,53,51,45,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,0,0,-999999,0,-999999,-999999,-999999,-999999,0,0,111,30,0,0,-999999,-999999,-999999,6,11,7,0,0,403,0
210003,44218,MD,210003,UMD PRINCE GEORGE'S HOSPITAL CTR,3001 HOSPITAL DRIVE,CHEVERLY,20785,Short Term,24033,TRUE,543.3,543.3,270.6,228.7,228.7,114.7,108.1,-999999,-999999,270.6,57.4,57.4,52,52,34.9,31,0,0,0,3803,3803,1894,1601,1601,803,757,-999999,-999999,1894,402,402,364,364,244,217,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,79,0,4,11,4,15,14,17,14,0,-999999,456,12,-999999,-999999,-999999,-999999,-999999,-999999,-999999,0,0,-999999,1311,0
210028,44218,MD,210028,MEDSTAR SAINT MARY'S HOSPITAL,25500 POINT LOOKOUT ROAD,LEONARDTOWN,20650,Short Term,24037,TRUE,190,170,104.7,96.6,90.1,26.3,19.1,0,0,118.7,7.4,7.4,7,7,4,-999999,0,0,0,1330,1190,733,676,631,184,134,0,0,831,52,52,49,49,28,25,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,24,0,-999999,5,-999999,-999999,-999999,-999999,7,0,0,250,98,-999999,10,14,7,12,19,20,15,0,0,662,0
210037,44218,MD,210037,UMD SHORE MEDICAL CENTER AT EASTON,219 SOUTH  WASHINGTON STREET,EASTON,21601,Short Term,24041,TRUE,154.6,149.6,80.7,72.1,70.7,26.3,15.6,0,0,85.7,8.7,8.7,8.3,8.3,4.9,-999999,0,0,0,1082,1047,565,505,495,184,109,0,0,600,61,61,58,58,34,25,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,13,0,-999999,-999999,0,-999999,-999999,-999999,-999999,0,0,-999999,37,0,0,-999999,-999999,5,7,5,12,-999999,0,876,0
210001,44218,MD,210001,MERITUS MEDICAL CENTER,11116 MEDICAL CAMPUS ROAD,HAGERSTOWN,21742,Short Term,24043,TRUE,389,381,267,214.7,213.3,74.9,0,-999999,0,267,31.6,31.6,21.3,21.3,7.9,0,0,0,0,2723,2667,1869,1503,1493,524,0,-999999,0,1869,221,221,149,149,55,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,54,0,4,5,4,7,5,14,15,0,0,171,32,0,-999999,-999999,-999999,7,9,4,5,0,0,1032,0
210019,44218,MD,210019,"TIDALHEALTH PENINSULA REGIONAL, INC",100 EAST CARROLL AVENUE,SALISBURY,21801,Short Term,24045,TRUE,472,472,325,279.1,259.1,71.3,48.9,-999999,-999999,331,68,68,27.1,26.7,-999999,-999999,0,0,0,3304,3304,2275,1954,1814,499,342,5,-999999,2317,476,476,190,187,25,18,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,75,0,-999999,4,9,6,15,21,17,0,-999999,530,17,0,-999999,-999999,-999999,-999999,-999999,4,-999999,0,-999999,1378,0
210061,44218,MD,210061,ATLANTIC GENERAL HOSPITAL,9733 HEALTHWAY DRIVE,BERLIN,21811,Short Term,24047,TRUE,56,56,56,44.1,44.1,19.4,19.3,0,0,56,8,8,7.1,7.1,4,4,-999999,0,-999999,392,392,392,309,309,136,135,0,0,392,56,56,50,50,28,28,4,0,-999999,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10,0,0,0,0,-999999,-999999,-999999,5,0,0,140,0,0,0,0,0,0,0,0,0,0,0,428,-999999
210008,44218,MD,210008,MERCY MEDICAL CENTER INC,301 SAINT PAUL PLACE,BALTIMORE,21202,Short Term,24510,TRUE,170,170,149,119,119,17,17,0,0,149,15,15,8.9,8.9,-999999,-999999,0,0,0,1190,1190,1043,833,833,119,119,0,0,1043,105,105,62,62,25,25,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,14,0,0,4,-999999,4,-999999,-999999,-999999,0,0,121,0,0,0,0,0,0,0,0,0,0,0,776,0
210034,44218,MD,210034,MEDSTAR HARBOR HOSPITAL,3001 SOUTH  HANOVER STREET,BALTIMORE,21225,Short Term,24510,TRUE,275,218,149.4,125,111.6,25.4,17.7,-999999,0,200.3,22.3,22.3,12.3,12.3,4.6,4.4,0,0,0,1925,1526,1046,875,781,178,124,-999999,0,1402,156,156,86,86,32,31,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,18,0,-999999,-999999,-999999,5,-999999,5,-999999,0,0,261,73,-999999,13,9,7,18,14,8,-999999,0,-999999,631,0
210011,44218,MD,210011,SAINT AGNES HOSPITAL,900 CATON AVENUE,BALTIMORE,21229,Short Term,24510,TRUE,237.4,223.4,194,191.7,181.3,30.7,30.6,-999999,-999999,208,27.9,18.4,26.1,18.4,6.3,6.1,0,0,0,1662,1564,1358,1342,1269,215,214,4,-999999,1456,195,129,183,129,44,43,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,36,0,0,-999999,-999999,4,9,9,8,0,-999999,0,-999999,0,0,0,0,0,0,-999999,0,0,-999999,1122,0
210013,44218,MD,210013,"GRACE MEDICAL CENTER, INC",2000 W BALTIMORE STREET,BALTIMORE,21223,Short Term,24510,TRUE,33,33,8,-999999,-999999,0,0,0,0,8,0,0,0,0,0,0,0,0,0,231,231,56,23,23,0,0,0,0,56,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,0
